Date,Open,High,Low,Close,Adj Close,Volume
2019-07-03,85.449997,90.599998,84.510002,90.449997,90.449997,2706100
2019-07-05,90.139999,91.970001,88.000000,91.879997,91.879997,2582700
2019-07-08,91.440002,92.790001,89.889999,90.760002,90.760002,1793300
2019-07-09,90.269997,91.269997,89.099998,90.930000,90.930000,1557400
2019-07-10,91.760002,93.449997,91.550003,92.720001,92.720001,2059300
2019-07-11,92.900002,93.199997,90.452003,91.400002,91.400002,1784600
2019-07-12,93.010002,94.930000,91.370003,93.300003,93.300003,2689700
2019-07-15,94.000000,100.650002,93.779999,99.800003,99.800003,3835600
2019-07-16,100.139999,100.500000,96.500000,97.099998,97.099998,2120100
2019-07-17,97.620003,101.987000,97.540001,99.730003,99.730003,2314100
2019-07-18,99.239998,99.500000,95.015999,95.190002,95.190002,2035600
2019-07-19,97.150002,97.790001,92.879997,93.379997,93.379997,1747700
2019-07-22,94.190002,97.464996,93.504997,96.669998,96.669998,1483000
2019-07-23,97.500000,98.150002,93.519997,97.389999,97.389999,2241700
2019-07-24,97.120003,97.879997,94.684998,95.940002,95.940002,1283700
2019-07-25,95.839996,99.599998,95.750000,97.110001,97.110001,1870300
2019-07-26,97.949997,104.489998,97.830002,102.199997,102.199997,3040700
2019-07-29,102.599998,102.998001,92.099998,96.470001,96.470001,4230300
2019-07-30,95.190002,99.349998,94.029999,95.489998,95.489998,1635500
2019-07-31,96.430000,97.500000,93.500000,95.510002,95.510002,1514700
2019-08-01,95.750000,98.660004,93.800003,95.099998,95.099998,1530400
2019-08-02,94.919998,96.000000,92.566002,93.660004,93.660004,1117100
2019-08-05,90.699997,91.190002,87.290001,89.690002,89.690002,1774400
2019-08-06,91.500000,92.290001,88.099998,90.430000,90.430000,1028700
2019-08-07,89.019997,93.160004,88.019997,92.449997,92.449997,996100
2019-08-08,93.570000,95.839996,93.019997,95.769997,95.769997,925600
2019-08-09,94.790001,95.489998,93.309998,94.199997,94.199997,800500
2019-08-12,93.050003,94.180000,91.110001,92.160004,92.160004,779300
2019-08-13,92.059998,96.223000,92.059998,95.449997,95.449997,1167200
2019-08-14,93.199997,94.522003,89.889999,92.650002,92.650002,1265700
2019-08-15,92.769997,93.440002,89.690002,90.639999,90.639999,1079800
2019-08-16,92.120003,95.000000,92.080002,92.529999,92.529999,1259300
2019-08-19,94.180000,96.199997,92.889999,93.169998,93.169998,1226000
2019-08-20,93.000000,93.570000,91.139999,91.410004,91.410004,746100
2019-08-21,92.860001,94.181000,92.353996,93.010002,93.010002,760000
2019-08-22,93.480003,95.500000,91.570000,93.879997,93.879997,883000
2019-08-23,93.139999,94.129997,90.410004,91.629997,91.629997,1368400
2019-08-26,92.330002,93.500000,91.449997,91.760002,91.760002,697400
2019-08-27,92.599998,93.690002,90.440002,91.730003,91.730003,825800
2019-08-28,91.160004,91.379997,88.710999,90.160004,90.160004,1148300
2019-08-29,91.500000,92.680000,90.699997,90.870003,90.870003,851800
2019-08-30,91.820000,92.419998,89.019997,91.669998,91.669998,1186100
2019-09-03,91.500000,94.239998,90.750000,92.459999,92.459999,1538900
2019-09-04,93.949997,96.000000,93.180000,93.529999,93.529999,2400700
2019-09-05,94.239998,94.379997,88.510002,92.690002,92.690002,4991800
2019-09-06,92.000000,96.500000,84.860001,85.410004,85.410004,7289700
2019-09-09,85.750000,85.940002,77.199997,78.650002,78.650002,6713800
2019-09-10,77.000000,81.221001,76.809998,80.349998,80.349998,2813200
2019-09-11,80.000000,81.860001,78.500000,80.709999,80.709999,2013600
2019-09-12,81.449997,82.650002,79.900002,81.529999,81.529999,1955100
2019-09-13,81.570000,82.475998,78.269997,78.849998,78.849998,1416800
2019-09-16,78.500000,80.989998,78.260002,80.669998,80.669998,1630100
2019-09-17,81.489998,84.820000,79.529999,84.639999,84.639999,2539900
2019-09-18,84.400002,86.000000,83.500000,84.550003,84.550003,1835400
2019-09-19,85.199997,85.349998,83.250000,84.620003,84.620003,1266600
2019-09-20,85.000000,85.349998,81.500000,82.629997,82.629997,2050100
2019-09-23,82.290001,83.599998,81.800003,82.620003,82.620003,677000
2019-09-24,82.430000,82.930000,79.459999,80.019997,80.019997,2145400
2019-09-25,79.120003,79.989998,76.080002,79.599998,79.599998,1924100
2019-09-26,79.250000,80.620003,78.614998,79.750000,79.750000,920000
2019-09-27,79.690002,79.824997,75.089996,76.040001,76.040001,2347400
2019-09-30,76.129997,77.000000,74.290001,76.199997,76.199997,1356500
2019-10-01,76.430000,77.489998,75.209999,75.809998,75.809998,1378100
2019-10-02,74.500000,75.779999,73.660004,73.849998,73.849998,1388700
2019-10-03,73.900002,78.489998,73.389999,76.830002,76.830002,2605800
2019-10-04,77.000000,77.782997,75.279999,76.529999,76.529999,1799500
2019-10-07,76.989998,77.430000,75.000000,76.989998,76.989998,1432200
2019-10-08,76.010002,76.353996,72.580002,73.589996,73.589996,3156600
2019-10-09,74.220001,75.059998,72.750000,72.860001,72.860001,1490100
2019-10-10,72.860001,73.779999,71.010002,71.010002,71.010002,2282200
2019-10-11,71.370003,72.889999,70.902000,71.349998,71.349998,2391800
2019-10-14,70.459999,71.239998,69.550003,70.800003,70.800003,2218100
2019-10-15,68.760002,71.269997,68.379997,71.110001,71.110001,10576600
2019-10-16,69.699997,69.949997,66.510002,67.690002,67.690002,6061400
2019-10-17,67.089996,68.000000,66.760002,67.029999,67.029999,3496800
2019-10-18,66.260002,66.930000,64.529999,66.080002,66.080002,4819400
2019-10-21,65.290001,66.500000,64.157997,65.769997,65.769997,3076500
2019-10-22,64.199997,64.599998,61.020000,62.000000,62.000000,4584700
2019-10-23,61.330002,63.740002,60.967999,62.060001,62.060001,3589200
2019-10-24,63.000000,65.940002,62.759998,64.519997,64.519997,3433300
2019-10-25,64.330002,64.989998,62.790001,63.450001,63.450001,1921900
2019-10-28,63.959999,67.470001,62.259998,66.559998,66.559998,3509300
2019-10-29,65.769997,67.110001,64.800003,65.489998,65.489998,1825300
2019-10-30,65.970001,70.089996,65.660004,70.000000,70.000000,4670300
2019-10-31,69.519997,70.080002,66.599998,69.889999,69.889999,3405300
2019-11-01,69.860001,70.550003,68.019997,70.389999,70.389999,3561800
2019-11-04,70.809998,70.849998,69.010002,70.120003,70.120003,1563100
2019-11-05,70.709999,70.849998,66.680000,66.889999,66.889999,1805900
2019-11-06,66.949997,67.129997,65.360001,66.830002,66.830002,1327400
2019-11-07,67.029999,68.680000,66.209999,66.809998,66.809998,1128200
2019-11-08,66.540001,70.000000,66.519997,69.849998,69.849998,1472400
2019-11-11,69.510002,70.190002,67.760002,68.389999,68.389999,1037500
2019-11-12,68.500000,70.050003,67.559998,68.000000,68.000000,1911000
2019-11-13,68.000000,68.508003,66.870003,68.010002,68.010002,1987000
2019-11-14,67.769997,68.150002,66.709999,67.739998,67.739998,932500
2019-11-15,68.129997,71.099998,67.910004,70.010002,70.010002,2311800
2019-11-18,70.470001,71.139999,68.779999,70.080002,70.080002,1676000
2019-11-19,70.190002,70.332001,68.190002,69.639999,69.639999,1704700
2019-11-20,69.250000,71.709999,68.550003,70.989998,70.989998,2780700
2019-11-21,71.500000,71.949997,69.580002,69.919998,69.919998,1127000
2019-11-22,72.000000,74.000000,71.150002,73.160004,73.160004,3051900
2019-11-25,73.800003,75.059998,72.860001,74.550003,74.550003,1936400
2019-11-26,75.000000,75.769997,74.760002,75.160004,75.160004,1836500
2019-11-27,75.809998,75.839996,73.360001,74.080002,74.080002,1355900
2019-11-29,74.099998,74.940002,73.860001,74.500000,74.500000,512600
2019-12-02,74.059998,74.500000,68.459999,68.930000,68.930000,3138600
2019-12-03,66.720001,70.529999,66.050003,70.019997,70.019997,2444200
2019-12-04,70.500000,70.900002,69.150002,69.959999,69.959999,2076500
2019-12-05,70.029999,70.750000,69.220001,69.669998,69.669998,3672600
2019-12-06,64.260002,65.080002,62.110001,62.740002,62.740002,11253600
2019-12-09,62.389999,67.269997,62.330002,65.940002,65.940002,5234100
2019-12-10,65.489998,65.830002,63.389999,64.570000,64.570000,3895700
2019-12-11,64.239998,64.449997,62.049999,63.520000,63.520000,3685600
2019-12-12,63.490002,64.230003,62.119999,62.490002,62.490002,3317300
2019-12-13,62.500000,63.750000,62.020000,63.540001,63.540001,2489400
2019-12-16,63.590000,66.389999,63.560001,66.349998,66.349998,3282800
2019-12-17,66.620003,66.620003,65.400002,66.169998,66.169998,2301000
2019-12-18,66.220001,68.139999,66.040001,67.599998,67.599998,2237000
2019-12-19,67.750000,68.459999,67.099998,68.180000,68.180000,1610500
2019-12-20,68.199997,68.480003,66.415001,66.930000,66.930000,2201400
2019-12-23,67.019997,67.500000,65.930000,66.150002,66.150002,1663500
2019-12-24,66.300003,66.885002,65.739998,66.459999,66.459999,562600
2019-12-26,66.500000,68.190002,66.300003,67.449997,67.449997,1387600
2019-12-27,67.510002,67.959999,66.510002,66.639999,66.639999,955400
2019-12-30,66.559998,67.180000,65.519997,66.790001,66.790001,1162700
2019-12-31,66.379997,68.180000,66.309998,68.040001,68.040001,1351400
2020-01-02,68.800003,69.235001,68.019997,68.720001,68.720001,1315500
2020-01-03,67.620003,68.680000,67.099998,67.279999,67.279999,1127900
2020-01-06,66.629997,70.495003,65.811996,70.320000,70.320000,3151600
2020-01-07,70.290001,72.838997,69.370003,71.900002,71.900002,6985400
2020-01-08,71.809998,73.290001,71.029999,72.550003,72.550003,2482300
2020-01-09,73.989998,74.000000,71.349998,72.620003,72.620003,2772000
2020-01-10,73.080002,73.800003,72.250000,73.089996,73.089996,1655100
2020-01-13,73.889999,75.580002,73.800003,74.029999,74.029999,3347100
2020-01-14,74.320000,75.114998,72.260002,73.160004,73.160004,1909500
2020-01-15,73.279999,77.779999,73.199997,76.940002,76.940002,3963500
2020-01-16,78.000000,78.790001,75.110001,76.110001,76.110001,2998300
2020-01-17,76.660004,76.900002,75.489998,75.559998,75.559998,1357400
2020-01-21,75.559998,77.120003,74.320000,76.730003,76.730003,1606700
2020-01-22,77.070000,77.106003,75.459999,75.540001,75.540001,1501600
2020-01-23,75.669998,75.970001,74.209999,74.470001,74.470001,1279000
2020-01-24,74.970001,76.184998,72.375000,73.000000,73.000000,1660200
2020-01-27,71.330002,72.132004,70.320000,70.440002,70.440002,1750700
2020-01-28,71.000000,72.480003,70.260002,71.510002,71.510002,1598200
2020-01-29,72.510002,74.139999,71.212997,73.580002,73.580002,1373400
2020-01-30,73.099998,74.800003,72.550003,74.540001,74.540001,1425400
2020-01-31,74.269997,76.669998,73.300003,76.300003,76.300003,2521700
2020-02-03,77.690002,88.940002,77.510002,87.660004,87.660004,13023400
2020-02-04,91.040001,93.300003,83.500000,85.790001,85.790001,10611000
2020-02-05,85.769997,90.970001,83.754997,86.989998,86.989998,5126800
2020-02-06,87.000000,89.440002,85.260002,87.260002,87.260002,2410800
2020-02-07,87.230003,90.599998,86.809998,88.639999,88.639999,2636600
2020-02-10,89.089996,89.980003,86.910004,89.669998,89.669998,2071600
2020-02-11,90.000000,90.500000,87.930000,88.680000,88.680000,2731900
2020-02-12,88.660004,89.500000,86.519997,88.279999,88.279999,1671100
2020-02-13,87.610001,91.930000,87.000000,89.860001,89.860001,3406400
2020-02-14,90.879997,91.709999,89.809998,90.949997,90.949997,2295000
2020-02-18,93.019997,98.139999,92.400002,96.389999,96.389999,5608200
2020-02-19,100.320000,105.080002,99.750000,103.930000,103.930000,7793800
2020-02-20,104.000000,110.750000,101.430000,105.290001,105.290001,11293200
2020-02-21,104.029999,104.290001,98.089996,101.760002,101.760002,5519200
2020-02-24,97.800003,110.000000,97.019997,105.010002,105.010002,12172800
2020-02-25,108.519997,111.800003,104.466003,107.080002,107.080002,13425900
2020-02-26,109.943001,111.300003,105.599998,106.879997,106.879997,6867500
2020-02-27,109.430000,118.000000,107.599998,113.550003,113.550003,13511800
2020-02-28,121.070000,121.930000,97.370003,105.000000,105.000000,21711000
2020-03-02,109.349998,114.500000,102.500000,113.110001,113.110001,10157400
2020-03-03,114.550003,119.199997,112.110001,117.470001,117.470001,11033700
2020-03-04,118.510002,119.970001,113.110001,116.800003,116.800003,12102600
2020-03-05,110.250000,129.830002,110.000000,125.000000,125.000000,28149400
2020-03-06,119.650002,122.000000,107.000000,114.320000,114.320000,22975700
2020-03-09,105.000000,116.500000,100.879997,113.750000,113.750000,14571300
2020-03-10,113.800003,113.800003,105.000000,108.489998,108.489998,10244000
2020-03-11,108.410004,113.989998,107.000000,110.300003,110.300003,12576700
2020-03-12,106.250000,113.871002,104.389999,109.470001,109.470001,12097900
2020-03-13,113.000000,113.800003,104.160004,107.470001,107.470001,9233500
2020-03-16,105.000000,119.870003,103.199997,107.860001,107.860001,17210700
2020-03-17,107.330002,113.830002,102.000000,111.099998,111.099998,18721500
2020-03-18,111.000000,119.000000,108.849998,118.709999,118.709999,13594300
2020-03-19,122.949997,132.229996,119.099998,123.769997,123.769997,16248400
2020-03-20,129.000000,135.979996,124.000000,130.550003,130.550003,13872600
2020-03-23,141.996994,164.940002,137.250000,159.559998,159.559998,27681500
2020-03-24,154.000000,155.000000,133.880005,135.179993,135.179993,22401300
2020-03-25,140.104996,149.000000,136.199997,138.110001,138.110001,14743000
2020-03-26,140.509995,146.649994,138.199997,141.149994,141.149994,9252700
2020-03-27,145.699997,154.970001,145.600006,151.699997,151.699997,13271900
2020-03-30,160.759995,161.690002,147.199997,150.880005,150.880005,15762200
2020-03-31,147.020004,149.789993,143.356995,146.119995,146.119995,10007300
2020-04-01,144.500000,144.600006,135.179993,135.699997,135.699997,8613475
